"","evacuation","age","consult_info","evac_orders","expected_hh_impacts","gender","signif_evac_orders","education","multiple_concerns","risk_area","social_cues","unnecessary_evac_exp"
"1","yes",54,2,"mandatory",2,"female",1,12,1,"yes",1,1
"2","yes",55,5,"voluntary",1.75,NA,4,21,2.8,"yes",1,1
"3","yes",66,3,"mandatory",3.5,"female",5,18,1,"yes",5,1
"4","yes",87,2.4,"mandatory",2,"male",5,21,3,"yes",2,2
"5","no",61,2.83,"mandatory",2,"female",5,12,5,"yes",4,5
"6","yes",45,3.83,"mandatory",1.75,"female",5,18,1.8,"yes",1,5
"7","yes",68,3.17,"mandatory",1,"female",4,16,4,"yes",3.5,3
"8","yes",76,4.5,"mandatory",2,"male",5,18,2.2,"yes",3.5,3
"9","yes",67,3.5,"mandatory",2,"male",5,18,3.8,"yes",2.5,1
"10","no",68,2.83,"mandatory",1.25,"male",4,18,3,"yes",2.5,4
"11","yes",80,3,"voluntary",NA,"male",NA,18,NA,"yes",NA,NA
"12","yes",64,1.33,"mandatory",2.25,"female",5,16,2,"yes",3,NA
"13","no",72,2.5,"mandatory",1.5,"male",5,18,2.5,"yes",NA,NA
"14","yes",70,2.67,"mandatory",3,"male",4,16,1.6,"yes",3,2
"15","not applicable",NA,NA,"mandatory",NA,NA,NA,NA,NA,"yes",NA,NA
"16","yes",56,3.33,"mandatory",2.75,"male",4,18,1.4,"yes",4,1
"17","yes",54,2.5,"mandatory",2,"male",5,12,4.2,"yes",5,3
"18","yes",73,5,"mandatory",4.25,"female",4,12,3.4,"yes",4,2
"19","not applicable",73,1.17,"mandatory",1,"female",2,18,3,"yes",2,3
"20","yes",83,3.17,"mandatory",2.25,"male",4,16,3.8,"yes",2.5,1
"21","yes",62,5,"mandatory",2.75,"male",5,18,3.4,"yes",3.5,3
"22","no",60,3.33,"mandatory",1.25,"male",1,16,1,"yes",1,1
"23","yes",83,1.83,"voluntary",1,"male",3,21,1.4,"yes",2.5,3
"24","yes",71,4,"mandatory",4.75,"male",5,16,4,"yes",1,1
"25","yes",65,2.5,"mandatory",1.75,"male",1,18,1,"yes",1,1
"26","yes",58,3.17,"mandatory",5,"female",4,12,4.25,"yes",4.5,5
"27","yes",85,2,"mandatory",4.25,"female",4,18,3,"yes",1,1
"28","yes",80,2,"mandatory",2.5,"female",5,21,2.4,"yes",3.5,1
"29","yes",63,1.33,"mandatory",4,"male",4,16,3.2,"yes",3.5,4
"30","no",59,3.5,"mandatory",2.75,"male",3,16,5,"yes",3,5
"31","no",67,2.17,"mandatory",1.75,"male",3,18,3.6,"yes",2,1
"32",NA,NA,NA,"voluntary",NA,NA,NA,NA,NA,"yes",NA,NA
"33","no",56,3,"mandatory",2.5,"female",3,12,1.6,"yes",4,1
"34","yes",63,2.5,"mandatory",2,"male",5,10,3.5,"yes",1,1
"35","yes",41,1,"mandatory",2,"female",5,21,1.8,"yes",5,3
"36","no",73,2.67,"mandatory",1.5,"male",2,21,2,"yes",1,1
"37","yes",72,1.67,"mandatory",2.25,"male",3,21,1.2,"yes",1,2
"38","yes",46,2,"mandatory",5,"male",5,12,5,"yes",5,5
"39","yes",62,1.67,"mandatory",4,"female",5,16,4.6,"yes",5,1
"40","yes",43,2.83,"mandatory",2.25,"female",4,16,3.6,"yes",1,3
"41","yes",62,4.33,"mandatory",4,"female",5,16,1,"yes",5,1
"42","yes",67,2.83,"mandatory",2.25,"female",4,16,3,"yes",5,5
"43","yes",28,3.5,"mandatory",3,"female",5,21,1.8,"yes",5,3
"44","yes",72,3.33,"mandatory",4.25,"female",5,12,4.6,"yes",5,5
"45","no",42,3.33,"mandatory",1.75,"female",2,18,3.8,"yes",2,5
"46","yes",64,2.17,"voluntary",3,"female",5,16,2.2,"yes",2,2
"47","yes",63,4.33,"mandatory",3.5,"female",1,18,4.2,"yes",2,5
"48","yes",74,2.67,"mandatory",3,"male",5,18,3.8,"yes",3.5,1
"49","yes",74,1.5,"mandatory",3.75,"male",4,18,1.6,"yes",1,1
"50","no",79,2,"mandatory",1,"male",5,16,2.6,"yes",5,5
"51","yes",81,4.4,"mandatory",5,"male",5,12,5,"yes",2.5,5
"52","yes",58,2,"mandatory",2,"female",5,18,1.4,"yes",4,1
"53","yes",77,3,"mandatory",2.5,"female",5,16,3.8,"yes",5,3
"54","yes",46,2.5,"mandatory",3.5,"female",5,18,3.8,"yes",3.5,4
"55","no",65,3.17,"mandatory",2,"female",3,16,3.2,"yes",2,1
"56","yes",72,4.5,"mandatory",3.5,"female",5,21,3.2,"yes",1.5,5
"57","yes",60,4.33,"mandatory",3.5,"male",3,18,4,"yes",2.5,3
"58","yes",76,2.83,"mandatory",2,"female",5,21,3,"yes",4,5
"59","yes",78,1.83,"mandatory",2.5,"male",2,16,1,"yes",3.5,1
"60","yes",59,2.5,"mandatory",1.75,"female",5,12,3,"yes",5,4
"61","yes",49,1.67,"mandatory",2.25,"female",3,18,1.2,"yes",1,1
"62","yes",67,2.17,"mandatory",1,"male",5,21,1.4,"yes",1,1
"63","yes",79,2.83,"mandatory",2.25,"male",4,18,3,"yes",3,4
"64","yes",64,4,"mandatory",NA,"female",5,12,NA,"yes",5,NA
"65","yes",57,2,"mandatory",1,"female",1,16,5,"yes",5,1
"66","yes",70,3.33,"mandatory",2.33,"female",5,16,4.4,"yes",3,5
"67","no",70,2.5,"mandatory",1,"male",5,16,3.4,"yes",1,1
"68","no",85,1.33,"mandatory",1.25,"male",4,21,1.6,"yes",2.5,4
"69","yes",76,2.83,"mandatory",4.25,"female",5,21,4,"yes",4,2
"70","yes",63,3.33,"mandatory",3.25,"male",5,12,2,"yes",2.5,1
"71","yes",60,4.33,"mandatory",2,"male",1,18,3,"yes",2,4
"72","yes",79,1.5,"mandatory",1.75,"male",5,10,4.6,"yes",4.5,4
"73","yes",58,5,"voluntary",1.75,"female",5,18,1.8,"yes",5,3
"74","yes",85,3.33,"mandatory",2,"male",NA,18,3,"yes",1,NA
"75","yes",65,2.5,"voluntary",2.75,"male",5,18,1,"yes",1,3
"76","yes",56,3,"mandatory",1,"male",4,16,2,"yes",2.5,2
"77","yes",70,1.67,"mandatory",1.25,"female",1,NA,2,"yes",1.5,1
"78","not applicable",NA,NA,"mandatory",NA,NA,NA,NA,NA,"yes",NA,NA
"79","yes",80,3.5,"mandatory",3.5,"female",5,16,2.2,"yes",2,1
"80","yes",75,2,"mandatory",2,"female",1,18,4,"yes",1,5
"81","yes",65,1.83,"mandatory",2.25,"male",4,NA,3.6,"yes",4,1
"82","yes",77,5,"mandatory",5,"female",5,16,5,"yes",NA,NA
"83","yes",66,2,"mandatory",1.75,"male",4,18,3.8,"yes",3.5,1
"84","yes",72,4.33,"mandatory",4,"male",5,10,3.2,"yes",5,4
"85","yes",62,3.5,"mandatory",4.5,"female",4,16,3.6,"yes",2,NA
"86","yes",80,3,"mandatory",2.75,"male",5,18,2,"yes",1,1
"87","yes",63,2.33,"mandatory",3,"male",5,12,2.2,"yes",3.5,3
"88","yes",75,2.33,"mandatory",1.75,"male",NA,18,2.6,"yes",1,4
"89","yes",65,2.83,"mandatory",2.75,"male",5,16,3,"yes",2.5,1
"90","yes",80,1.67,"mandatory",1.75,"female",4,12,2.6,"yes",1,1
"91","yes",59,3.17,"mandatory",2.5,"male",4,18,2.2,"yes",3.5,4
"92","yes",66,2.5,"mandatory",1.5,"female",3,16,2.6,"yes",1.5,1
"93","no",69,3,"mandatory",1.5,"female",2,16,4.8,"yes",1.5,5
"94","yes",37,4,"mandatory",3,"female",5,18,2.8,"yes",4,1
"95","yes",55,3.83,"mandatory",1.25,"female",5,12,2.8,"yes",5,1
"96","yes",34,3.67,"mandatory",2.25,"female",2,18,1.6,"yes",3,1
"97","no",86,1.67,"mandatory",1,"female",1,12,1.8,"yes",1,1
"98","yes",50,2.4,"mandatory",4.25,"male",5,12,5,"no",1.5,4
"99","no",67,2.67,"mandatory",4,"female",5,21,1,"yes",3,1
"100","yes",82,3,"mandatory",2.75,"male",4,16,2.2,"yes",2.5,2
"101","yes",52,3.67,"mandatory",3.75,"female",5,18,3.4,"yes",3,5
"102","yes",67,3.83,"mandatory",3.25,"male",5,16,3.4,"yes",3.5,5
"103","yes",43,3.17,"mandatory",2.75,"female",3,NA,5,"yes",4,5
"104","yes",63,5,"mandatory",3.25,"female",4,18,2.6,"yes",1.5,4
"105","yes",62,3.4,"mandatory",2.25,"female",5,21,2.6,"yes",5,1
"106","no",NA,1.83,"mandatory",1.25,"female",1,10,2.6,"yes",2,1
"107","yes",44,3.17,"mandatory",4.5,"female",5,18,1.8,"yes",4.5,3
"108","yes",67,2.83,"mandatory",2,"male",NA,12,NA,"yes",5,NA
"109","yes",71,3.83,"mandatory",3,"male",4,16,2.4,"yes",2,3
"110","yes",NA,1.83,"mandatory",1,"female",1,12,1,"yes",1,1
"111","not applicable",85,1,"mandatory",1,"female",NA,18,NA,"yes",NA,NA
"112","yes",63,4.5,"mandatory",5,"male",5,10,5,"yes",5,5
"113","yes",60,3.33,"mandatory",1.75,"female",5,16,1.6,"yes",5,4
"114","yes",78,2.5,"mandatory",2.25,"male",2,16,1.8,"yes",1,3
"115","no",77,1,"mandatory",1,"male",1,10,1.4,"yes",5,1
"116","yes",75,1.17,"mandatory",2.75,"male",4,12,1.75,"yes",1,NA
"117",NA,NA,NA,"mandatory",NA,NA,NA,NA,NA,"yes",NA,NA
"118","yes",68,2.5,"mandatory",2.25,"male",1,16,4,"yes",1.5,3
"119","yes",64,3,"mandatory",3.75,"male",5,18,4,"yes",3,5
"120","yes",49,3.8,"mandatory",2,"female",4,18,2.4,"yes",4,1
"121","no",61,2,"mandatory",2,"female",1,18,2.4,"yes",1,2
"122","yes",64,3.83,"mandatory",3.75,"male",5,12,4.2,"yes",5,5
"123","yes",62,2.17,"mandatory",2.75,"female",5,12,2.8,"yes",4,1
"124","yes",57,2.6,"mandatory",4.5,"female",5,16,5,"yes",3.5,4
"125","no",94,4,"mandatory",2,"female",4,10,4.8,"yes",3.5,5
"126","yes",75,1.5,"mandatory",2.5,"male",3,18,3.2,"yes",3.5,1
"127","yes",24,3.17,"mandatory",3.5,"female",NA,16,NA,"yes",NA,NA
"128","yes",74,1.33,"mandatory",1,"male",1,21,1.6,"yes",1,1
"129","yes",64,3.33,"mandatory",2.5,"male",4,18,3.6,"yes",4,4
"130","yes",69,2.83,"mandatory",2,"male",5,18,4.6,"yes",5,5
"131","yes",66,2.67,"mandatory",2,"male",3,16,1.8,"yes",1.5,5
"132","yes",66,2.67,"mandatory",2.25,"male",4,18,3.2,"yes",5,3
"133","yes",79,2.83,"mandatory",5,"female",4,16,3.8,"yes",5,1
"134","no",74,1.33,"mandatory",1,"female",2,12,1.4,"yes",1,5
"135","yes",82,3,"mandatory",2.75,"male",5,12,3,"yes",5,2
"136","no",84,1.5,"mandatory",1,"male",3,12,1.4,"yes",2,2
"137","no",58,2,"mandatory",1.25,"female",3,NA,4.2,"yes",3,5
"138","no",76,2.33,"mandatory",1,"female",2,18,1.6,"yes",1,5
"139","no",NA,2.5,"mandatory",1.25,"male",1,18,3.4,"yes",1,5
"140","yes",59,2.17,"mandatory",4.75,"female",5,12,2.8,"yes",5,5
"141","yes",60,1.83,"mandatory",1.5,"female",2,12,1.8,"yes",2,2
"142","yes",70,2.17,"mandatory",2.5,"female",5,16,3.6,"yes",4.5,2
"143","not applicable",60,1.17,"mandatory",1.75,"female",NA,21,NA,"yes",NA,NA
"144","yes",75,1.83,"mandatory",3.5,"male",5,16,3.2,"yes",4,3
"145","yes",46,3.83,"mandatory",4,"female",5,16,2.8,"yes",5,4
"146","yes",59,2.67,"mandatory",2.5,"female",5,12,3.4,"yes",3,2
"147","no",68,3.5,"voluntary",2.25,"female",2,16,3,"no",1.5,2
"148","no",75,2.5,"voluntary",1.75,"male",1,16,2.4,"no",4.5,3
"149","no",NA,3.5,"voluntary",2,"male",3,12,3.2,"yes",2.5,2
"150","yes",51,1.83,"voluntary",1.75,"male",3,12,3.6,"no",3,2
"151","no",83,2.17,"voluntary",1,"female",1,16,2.2,"yes",1,1
"152","yes",82,2,"voluntary",2.75,"male",1,18,3,"yes",2.5,5
"153","yes",64,2.67,"voluntary",2.25,"female",4,18,3.2,"no",1.5,3
"154","no",81,1.67,"voluntary",2,"female",4,21,3,"no",2,5
"155","yes",60,2,"voluntary",3.25,"male",4,18,3.8,"no",5,3
"156","no",74,2,"voluntary",NA,"female",NA,12,NA,"no",NA,NA
"157","yes",37,1,"voluntary",3.5,"female",3,16,3.6,"no",3.5,1
"158","yes",NA,1.67,"voluntary",1.75,"female",5,12,1.4,"yes",3,1
"159","yes",34,2.5,"voluntary",3,"male",1,16,4.4,"yes",1,3
"160","no",55,2.5,"voluntary",1,"female",3,18,2.2,"no",2,2
"161","yes",45,4.17,"voluntary",3.25,"female",5,18,2.8,"no",3.5,1
"162","yes",29,2.33,"voluntary",2.25,"female",4,18,3.4,"no",2.5,1
"163","no",54,3,"voluntary",2.75,"male",4,18,4,"yes",1.5,2
"164","no",27,1.83,"voluntary",1.75,"female",3,21,3.5,"no",4,4
"165","yes",65,1.83,"voluntary",4,"female",5,10,5,"no",3,5
"166","no",62,2.33,"voluntary",1.5,"male",2,12,2,"no",1,1
"167","yes",70,4,"voluntary",2,"female",5,16,2.2,"yes",4,2
"168","yes",50,3.33,"voluntary",2.5,"female",3,18,3.6,"yes",2,3
"169","no",60,1.83,"voluntary",1.25,"female",3,18,3,"yes",3.5,2
"170","no",56,2.83,"voluntary",1.75,"male",4,18,2.2,"no",2,3
"171","no",70,5,"voluntary",1,"male",1,16,1.2,"no",1,5
"172","yes",72,1,"voluntary",5,"female",5,10,5,"no",NA,NA
"173","no",88,2,"voluntary",1,NA,NA,21,NA,"no",NA,NA
"174","no",83,3.4,"voluntary",2,"female",2,18,3.6,"no",1.5,4
"175","no",54,1.17,"voluntary",1.25,"female",1,18,3.8,"yes",1,5
"176","no",61,2.67,"voluntary",2.5,"male",2,18,4.4,"no",3,2
"177","yes",35,3.33,"voluntary",3.75,"male",3,18,2.2,"yes",1.5,3
"178","no",64,2.33,"voluntary",1.25,"male",2,16,1.6,"yes",2,2
"179","yes",67,2,"voluntary",2.75,"male",5,21,2.4,"yes",5,2
"180","no",60,3,"voluntary",1.25,"female",1,16,2.8,"yes",1,5
"181","yes",64,2.17,"voluntary",3.25,"female",4,16,3,"yes",2,1
"182","no",NA,2.33,"voluntary",1,NA,3,21,1,"no",1,1
"183","yes",84,2.5,"voluntary",2.75,"female",5,12,3.6,"yes",2,5
"184","yes",48,1,"voluntary",5,"male",5,21,5,"yes",5,5
"185","yes",61,3,"voluntary",5,"male",5,16,3.67,"no",NA,2
"186","yes",62,3.33,"voluntary",3,"female",4,18,4.2,"no",3.5,3
"187","yes",59,2.83,"voluntary",3,"female",3,12,4.75,"no",5,5
"188","yes",62,4,"voluntary",2.5,"female",5,12,4.4,"yes",3.5,4
"189","no",33,2.17,"voluntary",1.25,"female",3,NA,2.6,"no",3,3
"190","yes",67,3,"voluntary",2,"female",4,16,1.8,"yes",3,1
"191","no",85,1.83,"voluntary",1,"male",NA,18,5,"yes",5,5
"192","no",46,3.83,"voluntary",1.5,"female",3,16,4.2,"no",4,5
"193","no",59,2.33,"voluntary",1.5,"male",2,16,3,"yes",2,4
"194","yes",77,4.33,"voluntary",4.25,"female",5,18,3.8,"no",5,4
"195","yes",64,1,"voluntary",1.67,"female",5,12,5,"no",5,3
"196","yes",81,3.5,"mandatory",2.75,"female",5,16,3.8,"no",4,3
"197",NA,NA,NA,"mandatory",NA,NA,NA,NA,NA,"no",NA,NA
"198","yes",67,4,"mandatory",4,"male",4,18,4,"no",4,4
"199","yes",68,1.83,"mandatory",3,"male",3,16,3,"yes",2.5,2
"200","no",50,5,"mandatory",NA,"male",NA,18,NA,"no",NA,NA
"201","no",58,2.83,"mandatory",4,"female",5,12,5,"no",5,5
"202","yes",48,3.2,"mandatory",2.5,"female",4,12,4.4,"yes",4.5,4
"203","no",67,2.17,"mandatory",1,"male",1,16,4.2,"yes",1,5
"204","no",80,3,"mandatory",1.25,"female",1,16,3.4,"yes",1,5
"205","no",58,4.33,"mandatory",2.75,"female",4,16,3.2,"no",2,4
"206","yes",54,4.5,"mandatory",1.5,"male",4,16,3.8,"no",4.5,3
"207","yes",60,3,"mandatory",3,"female",4,16,2.2,"no",3,4
"208","yes",68,4.5,"mandatory",5,NA,4,10,5,"yes",4.5,1
"209","yes",67,3.83,"mandatory",1.5,"male",5,18,4.2,"yes",1,5
"210","yes",61,2.33,"mandatory",2.25,"male",1,16,1.6,"no",3,3
"211","yes",51,2.17,"mandatory",1.25,"female",3,12,3.4,"no",2,4
"212","yes",62,3,"mandatory",3.25,"female",5,16,3.4,"no",3.5,3
"213","yes",75,5,"mandatory",2.25,"male",5,18,1.6,"yes",2.5,1
"214","yes",34,3.17,"mandatory",2.25,"female",3,16,2.8,"no",3.5,4
"215","not applicable",51,NA,"mandatory",NA,"female",NA,18,NA,"yes",NA,NA
"216","no",49,2.33,"mandatory",1.25,"male",1,16,4,"yes",1,4
"217","yes",65,2.83,"mandatory",2.5,"female",5,18,4,"yes",5,3
"218","no",63,5,"mandatory",3.25,"male",2,18,3.8,"yes",1,4
"219","yes",59,3.83,"mandatory",2.5,"female",5,12,4,"no",4,3
"220","no",69,1.67,"mandatory",1.5,"female",1,16,2.6,"yes",1,3
"221","no",76,2.17,"mandatory",1.5,"male",1,12,1.8,"no",1,1
"222","no",65,2.83,"mandatory",2,"female",3,12,3.6,"yes",3.5,5
"223","no",55,2.17,"mandatory",2.75,"female",3,12,4.8,"no",3,2
"224","yes",64,2.33,"mandatory",2.5,"female",5,18,2,"yes",4.5,1
"225","yes",50,2.17,"mandatory",1,"female",4,18,2.8,"no",4,5
"226","yes",42,5,"mandatory",2,"male",1,16,4,"no",2.5,5
"227","yes",52,3.83,"mandatory",2.25,"male",3,16,4.2,"no",3,3
"228","yes",56,3.2,"mandatory",3,"female",3,10,3.4,"no",2,3
"229","yes",48,3.33,"mandatory",3.25,"male",2,16,4.4,"no",2,4
"230","yes",59,3.33,"mandatory",2.25,"female",5,12,2.4,"no",3,4
"231","yes",82,3.33,"mandatory",4.5,"female",5,12,3.4,"yes",5,5
"232","yes",77,1.83,"mandatory",2,"male",5,12,1.2,"no",3.5,1
"233","yes",52,3.83,"mandatory",1.75,"female",5,21,3.2,"yes",3,3
"234","yes",55,1.83,"mandatory",1.5,"male",5,12,2.8,"no",1,5
"235","yes",83,2.83,"mandatory",3.5,"male",5,18,4.2,"yes",3,3
"236","no",62,1.67,"mandatory",1.25,"male",1,12,3.4,"no",1,5
"237","yes",37,2,"mandatory",2.5,"male",5,12,3.4,"yes",5,4
"238","yes",51,3.33,"mandatory",2,"female",3,16,3,"no",2.5,5
"239","no",65,2.67,"mandatory",1,"male",1,12,1,"yes",1,1
"240","yes",59,3.67,"mandatory",4,"female",5,16,5,"no",5,1
"241","yes",60,4.67,"mandatory",3.25,"female",5,18,3.8,"yes",5,3
"242","yes",50,3.17,"mandatory",3.75,"female",5,16,1.8,"yes",2.5,1
"243","yes",61,3,"mandatory",3.75,"male",5,16,3,"no",2.5,5
"244","no",78,2.5,"voluntary",1.67,"female",5,18,4.6,"yes",2,5
"245","yes",41,2.4,"voluntary",3.25,"female",5,21,4.6,"yes",4,4
"246","no",75,2.33,"voluntary",1,"male",1,18,1,"yes",1,1
"247","no",80,1.17,"voluntary",1,"male",1,21,1.2,"no",1,2
