"","age","education","evac_orders","evacuation","gender","Q1_1","Q1_2","Q1_3","Q1_4","Q1_5","Q1_6","Q10","Q11","Q12a_1","Q12b_1","Q13a_1","Q13b_1","Q14_1","Q14_10","Q14_11","Q14_12","Q14_13","Q14_14","Q14_15","Q14_16","Q14_17","Q14_18","Q14_19","Q14_2","Q14_20","Q14_21","Q14_22","Q14_3","Q14_4","Q14_5","Q14_6","Q14_7","Q14_8","Q14_9","Q15_1","Q15_2","Q15_3","Q15_4","Q15_5","Q15_6","Q15_7","Q16","Q17_1","Q17_2","Q17_3","Q17_4","Q17_5","Q18_1","Q18_10","Q18_11","Q18_12","Q18_13","Q18_14","Q18_15","Q18_16","Q18_17","Q18_18","Q18_19","Q18_2","Q18_20","Q18_21","Q18_22","Q18_3","Q18_4","Q18_5","Q18_6","Q18_7","Q18_8","Q18_9","Q19","Q2_1","Q2_2","Q2_3","Q2_4","Q2_5","Q20","Q21","Q22","Q23","Q24","Q25","Q26","Q27_1","Q27_2","Q27_3","Q27_4","Q28_1","Q28_2","Q29","Q3_1","Q3_2","Q3_3","Q3_4","Q3_5","Q3_6","Q3_7","Q3_8","Q30","Q31","Q32_1","Q32_2","Q33","Q34","Q35_1","Q35_2","Q35_3","Q36","Q37","Q38","Q39","Q4_1","Q4_10","Q4_11","Q4_12","Q4_2","Q4_3","Q4_4","Q4_5","Q4_6","Q4_7","Q4_8","Q4_9","Q40","Q41","Q5","Q7_1","Q7_2","Q7_3","Q7_4","Q7_5","Q7_6","Q7_7","Q8","Q9_1","Q9_2","Q9_3","Q9_4","Q9_5","Q9_6","Q9_7","Q9_8","risk_area"
"314",73,21,"mandatory","yes","male",2,5,3,4,2,3,1,NA,5,9,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2,1,1,1,1,5,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",5,5,5,5,5,"3","0",NA,"Magnolia, TX",2,1,1,1,1,1,1,1,1,2,3,2,1,1,5,4,5,5,1,1,1,1,"73",1,"","","2",5,6,1,1,1,1,2,5,1,4,4,5,5,3,5,1,2,4,2,1,1,3,5,6,3,1,1,NA,NA,NA,NA,NA,NA,NA,NA,"no"
"315",70,16,"mandatory","no","female",1,4,4,1,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",3,1,1,3,3,"","",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,3,1,1,1,1,2,5,1,1,2,1,"70",1,"","","2",3,3,2,1,2,1,5,5,2,2,3,2,5,1,3,5,2,5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no"
"316",53,16,"mandatory","yes","female",2,5,3,2,1,3,0,2,1,8,2,13,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2",5,3,3,5,3,"2","0",NA,"Liverpool",2,1,1,1,1,0,1,1,1,2,4,5,4,4,4,3,5,5,1,1,3,2,"53",1,"","2","",3,7,2,1,4,4,3,5,4,4,5,2,3,4,4,3,2,4,2,1,1,1,2,1,3,1,2,1,1,1,0,0,0,0,0,"yes"
"317",29,12,"mandatory","yes","female",5,5,5,5,5,5,1,NA,3,10,NA,NA,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,2,1,5,5,5,5,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",5,5,5,5,5,"1","0",NA,"Yoakum",1,2,1,1,1,1,0,1,1,2,5,5,5,5,5,5,5,5,1,1,3,3,"29",2,"4","","",2,1,2,1,5,5,5,5,5,5,5,5,5,5,5,5,1,5,2,6,3,2,6,6,6,1,2,1,1,1,1,1,0,0,1,"yes"
"318",51,16,"mandatory","yes","female",1,4,4,1,4,3,1,NA,4,14,NA,NA,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",5,2,2,5,4,"3","0",NA,"San Antonio",2,1,1,1,1,0,0,1,1,2,1,4,3,3,4,4,4,5,1,1,2,2,"51",1,"2","4","",3,2,2,1,4,5,3,3,3,4,4,2,2,2,5,5,1,5,2,2,2,3,3,5,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,"no"
"319",48,12,"mandatory","yes","female",1,1,5,5,5,5,1,NA,5,16,NA,NA,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",5,1,1,2,2,"2","0",NA,"Uvalde",1,2,1,1,1,1,1,1,2,2,5,3,1,1,4,5,5,5,1,1,2,2,"48",3,"3","","",2,5,2,4,5,5,5,5,5,5,5,5,5,5,5,5,2,5,2,6,2,6,6,1,1,6,1,NA,NA,NA,NA,NA,NA,NA,NA,"no"
"320",56,21,"mandatory","yes","female",1,1,1,1,2,2,1,NA,4,16,NA,NA,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",1,1,1,1,1,"1","0",NA,"San Antonio",2,1,1,1,0,0,0,2,1,2,1,1,1,1,1,1,1,1,1,1,3,2,"56",1,"","2","",5,8,2,1,3,3,3,3,3,3,3,3,3,3,3,3,2,5,2,4,2,4,4,6,4,1,2,1,0,0,0,0,0,1,0,"no"
"321",46,16,"mandatory","yes","male",1,4,4,4,1,2,0,2,4,12,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2",5,5,5,5,5,"5","0",NA,"Wimberly, TX",2,2,1,1,1,1,0,1,1,2,3,5,1,2,3,3,4,5,1,1,3,1,"46",2,"1","2","",3,8,1,1,1,4,1,5,1,5,1,3,3,2,3,4,2,4,2,2,6,5,5,6,5,2,1,NA,NA,NA,NA,NA,NA,NA,NA,"no"
"322",80,18,"mandatory","yes","female",1,1,2,1,1,3,1,NA,5,NA,NA,NA,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",2,2,2,3,2,"2","",NA,"",2,1,1,1,0,0,0,NA,2,2,NA,2,1,1,1,1,1,1,1,1,2,1,"80",1,"","","2",4,NA,2,1,1,1,1,1,1,2,2,2,2,1,1,1,NA,4,2,1,1,1,3,1,3,1,1,NA,NA,NA,NA,NA,NA,NA,NA,"no"
"323",69,12,"mandatory","no","male",1,3,3,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",5,NA,NA,5,5,"","",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,1,1,1,1,1,1,2,1,1,3,2,"69",1,"","","2",2,4,1,1,1,1,1,1,1,1,1,5,5,4,2,1,2,5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no"
